NAME,B19083_001E,state,county
"Echols County, Georgia",0.4355,13,101
"Effingham County, Georgia",0.4027,13,103
"Elbert County, Georgia",0.4294,13,105
"Emanuel County, Georgia",0.4532,13,107
"Evans County, Georgia",0.4334,13,109
"Fannin County, Georgia",0.4894,13,111
"Fayette County, Georgia",0.4305,13,113
"Floyd County, Georgia",0.4683,13,115
"Forsyth County, Georgia",0.3901,13,117
"Franklin County, Georgia",0.496,13,119
"Fulton County, Georgia",0.5296,13,121
"Gilmer County, Georgia",0.4268,13,123
"Glascock County, Georgia",0.415,13,125
"Glynn County, Georgia",0.5003,13,127
"Gordon County, Georgia",0.4461,13,129
"Grady County, Georgia",0.4501,13,131
"Greene County, Georgia",0.5592,13,133
"Gwinnett County, Georgia",0.43,13,135
"Habersham County, Georgia",0.4521,13,137
"Hall County, Georgia",0.4493,13,139
"Hancock County, Georgia",0.5086,13,141
"Haralson County, Georgia",0.4471,13,143
"Harris County, Georgia",0.4217,13,145
"Hart County, Georgia",0.4474,13,147
"Heard County, Georgia",0.4834,13,149
"Henry County, Georgia",0.3873,13,151
"Houston County, Georgia",0.4067,13,153
"Irwin County, Georgia",0.4204,13,155
"Jackson County, Georgia",0.4095,13,157
"Jasper County, Georgia",0.4498,13,159
"Jeff Davis County, Georgia",0.4962,13,161
"Jefferson County, Georgia",0.4532,13,163
"Jenkins County, Georgia",0.4841,13,165
"Johnson County, Georgia",0.4343,13,167
"Jones County, Georgia",0.4399,13,169
"Lamar County, Georgia",0.4164,13,171
"Lanier County, Georgia",0.4781,13,173
"Laurens County, Georgia",0.5194,13,175
"Lee County, Georgia",0.3929,13,177
"Liberty County, Georgia",0.4089,13,179
"Lincoln County, Georgia",0.446,13,181
"Long County, Georgia",0.3842,13,183
"Lowndes County, Georgia",0.4881,13,185
"Lumpkin County, Georgia",0.5029,13,187
"McDuffie County, Georgia",0.4515,13,189
"McIntosh County, Georgia",0.4696,13,191
"Macon County, Georgia",0.6112,13,193
